episode,steps,collisions,balls_collected,epsilon
1,500,134,7,1.0000
1,500,120,3,1.0000
2,500,122,6,0.9970
3,500,91,5,0.9940
4,500,112,7,0.9910
5,500,109,6,0.9881
6,500,100,4,0.9851
7,500,76,8,0.9821
8,500,78,7,0.9792
9,500,99,9,0.9763
10,500,87,7,0.9733
11,500,83,8,0.9704
12,500,93,6,0.9675
13,500,77,7,0.9646
14,500,79,9,0.9617
15,500,110,6,0.9588
16,500,106,7,0.9559
17,500,119,7,0.9531
18,500,60,7,0.9502
19,500,103,7,0.9474
20,391,49,10,0.9445
21,500,85,7,0.9417
22,500,67,7,0.9389
23,375,58,10,0.9360
24,500,88,9,0.9332
25,500,105,9,0.9304
26,500,75,7,0.9276
27,500,67,9,0.9249
28,500,118,5,0.9221
29,500,71,7,0.9193
30,500,115,8,0.9166
31,500,102,6,0.9138
32,500,74,8,0.9111
33,452,62,10,0.9083
34,500,122,6,0.9056
35,500,69,9,0.9029
36,500,73,9,0.9002
37,427,68,10,0.8975
38,500,86,9,0.8948
39,500,68,9,0.8921
40,500,108,7,0.8894
41,500,63,7,0.8868
42,249,74,10,0.8841
43,500,77,8,0.8814
44,500,43,8,0.8788
45,500,82,9,0.8762
46,464,96,10,0.8735
47,277,34,10,0.8709
48,323,35,10,0.8683
49,500,83,9,0.8657
50,500,78,9,0.8631
51,341,44,10,0.8605
52,396,49,10,0.8579
53,500,64,9,0.8554
54,483,81,10,0.8528
55,500,95,8,0.8502
56,500,84,8,0.8477
57,500,77,9,0.8451
58,445,78,10,0.8426
59,288,49,10,0.8401
60,460,69,10,0.8376
61,360,41,10,0.8350
62,385,46,10,0.8325
63,170,27,10,0.8300
64,500,46,9,0.8276
65,500,73,9,0.8251
66,375,51,10,0.8226
67,500,61,9,0.8201
68,260,26,10,0.8177
69,473,48,10,0.8152
70,500,64,8,0.8128
71,500,82,9,0.8103
72,500,84,9,0.8079
73,417,60,10,0.8055
10,434,60,10,0.8401
20,467,45,10,0.8152
30,291,20,10,0.7911
40,253,55,10,0.7677
50,500,66,8,0.7449
60,285,69,10,0.7229
70,116,30,10,0.7015
80,195,35,10,0.6807
90,226,25,10,0.6606
100,242,36,10,0.6410
74,500,50,8,0.8031
110,148,14,10,0.6221
120,248,28,10,0.6037
130,308,30,10,0.5858
140,187,25,10,0.5684
150,264,33,10,0.5516
160,126,21,10,0.5353
170,187,25,10,0.5195
180,214,33,10,0.5041
190,116,16,10,0.4892
200,150,21,10,0.4747
210,76,19,10,0.4606
220,162,32,10,0.4470
230,133,12,10,0.4338
240,80,16,10,0.4209
250,147,22,10,0.4085
260,116,10,10,0.3964
270,71,8,10,0.3846
280,188,17,10,0.3733
290,117,14,10,0.3622
300,138,15,10,0.3515
310,153,11,10,0.3411
320,187,20,10,0.3310
330,108,14,10,0.3212
340,116,10,10,0.3117
350,190,31,10,0.3025
360,120,24,10,0.2935
370,67,3,10,0.2848
380,112,17,10,0.2764
390,180,23,10,0.2682
400,82,7,10,0.2603
410,77,5,10,0.2526
420,181,25,10,0.2451
430,88,19,10,0.2378
440,112,9,10,0.2308
450,45,4,10,0.2240
460,123,27,10,0.2173
470,102,11,10,0.2109
480,134,18,10,0.2047
490,117,17,10,0.1986
500,78,7,10,0.1927
510,113,17,10,0.1870
520,107,15,10,0.1815
530,76,10,10,0.1761
540,69,9,10,0.1709
550,133,13,10,0.1658
560,100,9,10,0.1609
570,106,9,10,0.1562
580,76,10,10,0.1516
590,119,15,10,0.1471
600,99,12,10,0.1427
610,96,8,10,0.1385
620,109,12,10,0.1344
630,73,11,10,0.1304
640,132,20,10,0.1266
650,50,10,10,0.1228
660,80,7,10,0.1192
670,103,7,10,0.1156
680,145,16,10,0.1122
690,165,30,10,0.1089
700,103,13,10,0.1057
710,57,15,10,0.1025
720,109,13,10,0.0995
730,60,13,10,0.0966
