episode,phase,steps,balls_delivered,reward,success
1,0,500,0,48.265,0
2,0,500,0,-6.864,0
3,0,500,0,46.038,0
4,0,500,0,14.396,0
5,0,500,0,89.508,0
6,0,500,0,24.711,0
7,0,500,0,30.386,0
8,0,500,0,39.895,0
9,0,500,0,32.598,0
10,0,500,0,27.726,0
11,0,500,0,19.903,0
12,0,500,0,69.930,0
13,0,500,0,66.425,0
14,0,500,0,126.506,0
15,0,500,0,50.182,0
16,0,500,0,63.286,0
17,0,500,0,52.679,0
18,0,500,0,130.152,0
19,0,500,0,56.253,0
20,0,500,0,104.393,0
21,0,500,0,129.501,0
22,0,500,0,82.018,0
23,0,500,0,87.917,0
24,0,500,0,76.642,0
25,0,500,0,63.966,0
26,0,500,0,119.465,0
27,0,500,0,116.374,0
28,0,500,0,131.193,0
29,0,500,0,173.812,0
30,0,500,0,134.822,0
31,0,500,0,37.177,0
32,0,500,0,152.738,0
33,0,500,0,101.816,0
34,0,500,0,78.056,0
35,0,500,0,106.912,0
36,0,500,0,102.410,0
37,0,500,0,137.265,0
38,0,500,0,70.201,0
39,0,500,0,83.099,0
40,0,500,0,82.241,0
41,0,500,0,102.181,0
42,0,500,0,103.579,0
43,0,500,0,133.500,0
44,0,500,0,65.231,0
45,0,500,0,61.793,0
46,0,500,0,153.581,0
47,0,500,0,89.033,0
48,0,500,0,40.050,0
49,0,500,0,111.336,0
50,0,500,0,101.315,0
51,0,500,0,134.248,0
52,0,500,0,82.965,0
53,0,500,0,36.909,0
54,0,500,0,191.668,0
55,0,500,0,135.210,0
56,0,500,0,56.408,0
57,0,500,0,129.039,0
58,0,500,0,124.795,0
59,0,500,0,122.656,0
60,0,500,0,99.312,0
61,0,500,0,124.050,0
62,0,500,0,59.613,0
63,0,500,0,88.835,0
64,0,500,0,82.983,0
65,0,500,0,49.263,0
66,0,500,0,32.996,0
67,0,500,0,72.465,0
68,0,500,0,92.858,0
69,0,500,0,119.987,0
70,0,500,0,35.939,0
71,0,500,0,35.071,0
72,0,500,0,74.458,0
73,0,500,0,114.235,0
74,0,500,0,153.893,0
75,0,500,0,123.469,0
76,0,500,0,17.107,0
77,0,500,0,129.822,0
78,0,500,0,46.424,0
79,0,500,0,89.340,0
80,0,500,0,6.123,0
81,0,500,0,96.567,0
82,0,500,0,99.214,0
83,0,500,0,119.473,0
84,0,500,0,107.146,0
85,0,500,0,31.624,0
86,0,500,0,86.100,0
87,0,500,0,48.131,0
88,0,500,0,112.213,0
89,0,500,0,69.896,0
90,0,500,0,61.330,0
91,0,500,0,75.772,0
92,0,500,0,100.460,0
93,0,500,0,101.818,0
94,0,500,0,107.953,0
95,0,500,0,83.914,0
96,0,500,0,145.797,0
97,0,500,0,28.482,0
98,0,500,0,6.419,0
99,0,500,0,91.332,0
100,0,500,0,67.050,0
101,0,500,0,73.986,0
102,0,500,0,45.911,0
103,0,500,0,48.140,0
104,0,500,0,152.353,0
105,0,500,0,170.746,0
106,0,500,0,119.796,0
107,0,500,0,75.895,0
108,0,500,0,74.966,0
109,0,500,0,189.621,0
110,0,500,0,51.333,0
111,0,500,0,80.575,0
112,0,500,0,34.894,0
113,0,500,0,39.173,0
114,0,500,0,107.480,0
115,0,500,0,148.772,0
116,0,500,0,52.573,0
117,0,500,0,56.558,0
118,0,500,0,25.536,0
119,0,500,0,43.237,0
120,0,500,0,118.199,0
121,0,500,0,144.877,0
122,0,500,0,31.394,0
123,0,500,0,-28.600,0
124,0,500,0,-38.021,0
125,0,500,0,89.237,0
126,0,500,0,51.380,0
127,0,500,0,89.186,0
128,0,500,0,127.283,0
129,0,500,0,53.776,0
130,0,500,0,-39.153,0
131,0,500,0,-73.462,0
